time,adt,ugos,vgos
1999-01-01,0.7024488115449916,0.03939107526881721,0.007581290322580649
1999-02-01,0.750522462406015,0.024643333333333337,-0.008642380952380955
1999-03-01,0.747959337860781,0.06353569892473118,-0.0030936559139784947
1999-04-01,0.7081389802631579,0.07998343749999999,-0.014354270833333333
1999-05-03,0.7190362068965518,0.07969505747126439,-0.01638080459770115
1999-06-01,0.7072932456140351,0.046270111111111116,-0.009963333333333331
1999-07-01,0.7103847039473685,0.06074281250000001,0.00675125
1999-08-02,0.6788306140350876,0.052802666666666664,-0.017423222222222222
1999-09-01,0.6717435087719299,0.03424566666666666,0.04113655555555556
1999-10-01,0.6843112903225806,0.04728913978494623,-0.009135483870967744
1999-11-01,0.6428933333333333,0.041230444444444445,-0.009634777777777779
1999-12-01,0.6347701188455009,0.06400655913978494,-0.005795806451612903
1999-12-01,0.6438934210526316,0.07142500000000002,0.04170833333333333
2000-01-03,0.6569249546279493,0.07739287356321839,0.0462367816091954
2000-02-01,0.6646162431941922,0.04221264367816092,-0.0034813793103448277
2000-03-01,0.7238905901116428,0.09132727272727272,0.021998686868686876
2000-04-03,0.7137463345864662,0.06111750000000001,0.004386785714285715
2000-05-01,0.7120828522920203,0.029483118279569898,-0.006588279569892474
2000-06-01,0.7023818256578948,0.021778333333333334,-0.00022020833333333384
2000-07-03,0.7141565335753176,0.017207586206896552,-0.03498183908045977
2000-08-01,0.6912589134125637,0.027483548387096775,-0.02316258064516129
2000-09-01,0.6426238539898134,0.0241552688172043,-0.04131795698924731
2000-10-02,0.6262744736842106,0.007379222222222223,-0.0038394444444444435
2000-11-01,0.6396842982456141,0.02815566666666667,-0.04500044444444444
2000-12-01,0.6550495755517827,0.029117419354838713,-0.037050107526881725
2001-01-01,0.6797538200339559,0.016342580645161288,-0.0052119354838709685
2001-02-01,0.7148649436090226,0.044022976190476196,0.07207666666666666
2001-03-01,0.7296966282894738,0.07138354166666667,0.05412104166666666
2001-04-02,0.7508256805807624,0.0566748275862069,0.026146666666666665
2001-05-01,0.7413264855687606,0.031256666666666676,0.0025515053763440856
2001-06-01,0.7187815789473685,0.033836236559139796,-0.009010537634408603
2001-07-02,0.6916692105263159,0.04740255555555555,0.03743577777777778
2001-08-01,0.6525026315789474,0.06808868686868688,0.002844848484848485
2001-09-03,0.67418007518797,0.05971714285714287,0.022744880952380954
2001-10-01,0.6503857385398981,0.02469709677419355,-0.036050000000000006
2001-11-01,0.6391772203947369,0.06635885416666668,-0.036270000000000004
2001-12-03,0.651543557168784,0.007177356321839081,-0.03191057471264368
2002-01-01,0.6553940577249575,-0.00995311827956989,-0.004893763440860216
2002-02-01,0.6945781954887219,0.01980309523809524,0.08690595238095236
2002-03-01,0.7029221561969439,0.007799569892473119,0.06935967741935484
2002-04-01,0.7033355263157897,0.06868466666666667,0.023697333333333338
2002-05-01,0.6836376395534289,0.030203434343434345,0.017519292929292926
2002-06-03,0.6322693609022556,0.02277988095238095,0.02030345238095238
2002-07-01,0.6190813242784381,-0.019262043010752693,0.047494946236559143
2002-08-01,0.6026028782894737,0.001029999999999999,0.0380915625
2002-09-02,0.5961076225045373,0.026578275862068967,0.02811977011494253
2002-10-01,0.6324331069609507,0.025130107526881718,0.06487849462365593
2002-11-01,0.6530700339558574,0.0295894623655914,0.04278967741935484
2002-12-02,0.6270741228070177,0.013730111111111111,0.002361444444444444
2003-01-01,0.6512946570972888,0.01794212121212121,-0.013822121212121214
2003-02-03,0.6939072368421053,0.01644154761904762,0.0004014285714285714
2003-03-03,0.6763365698729583,0.037195747126436786,0.04708471264367816
2003-04-01,0.6994005263157895,0.05479944444444444,0.0843668888888889
2003-05-01,0.7104894736842106,0.03743083333333334,0.08112520833333334
2003-06-02,0.6958238656987297,0.03818356321839081,0.0001197701149425294
2003-07-01,0.6839631578947368,0.04672397849462366,0.016810430107526884
2003-08-01,0.6909370118845501,-0.0016867741935483868,-0.023806774193548385
2003-09-01,0.6349166666666667,0.014661444444444446,0.009956222222222222
2003-10-01,0.6332240829346093,0.027191616161616163,0.02438969696969697
2003-11-03,0.6317765977443609,0.006490357142857142,0.012822976190476194
2003-12-01,0.6608457555178268,0.018286881720430113,0.020109462365591402
2004-01-01,0.6828109375000002,0.050890833333333337,0.00677114583333333
2004-02-02,0.6491593984962407,-0.003881071428571429,0.03398476190476191
2004-03-01,0.659018845500849,0.02210602150537635,0.020420645161290323
2004-04-01,0.6633667763157894,0.028193333333333338,0.04989354166666667
2004-05-03,0.6920907441016335,0.013067011494252875,0.054917471264367815
2004-06-01,0.6635687719298247,0.008391222222222224,0.049655333333333336
2004-07-01,0.6930526315789474,0.04031854166666668,0.037505104166666664
2004-08-02,0.6506884210526318,0.004925777777777776,0.011804
2004-09-01,0.6481887719298246,-0.016094555555555553,0.04498122222222223
2004-10-01,0.6125915110356537,-0.025511075268817202,0.024091290322580648
2004-11-01,0.6259344736842106,-0.011657555555555553,0.06661322222222223
2004-12-01,0.5810661290322581,-0.008926881720430106,0.03337516129032258
2004-12-01,0.6135131578947369,-0.017620000000000004,0.035095
2005-01-03,0.6358198729582579,-0.013619080459770113,0.07119103448275863
2005-02-01,0.6859547932330827,0.07459488095238095,0.08740333333333335
2005-03-01,0.700325636672326,0.05891075268817205,0.04584698924731183
2005-04-01,0.7181467741935483,0.014886129032258064,-0.014677419354838711
2005-05-02,0.7097895614035088,0.0038016666666666667,-0.0006148888888888889
2005-06-01,0.6692419298245614,0.03328144444444445,0.021533777777777777
2005-07-01,0.6178403225806453,0.025726774193548393,0.03372860215053764
